ID,Name,ORG,G,GS,W,L,IP,BF,AB,HA,1B,2B,3B,HR,R,ER,BB,IBB,K,HP,SH,SF,WP,BK,CI,DP,IR,IRS,PI,GB,FB,SB,CS,IP Clean
64539,Kennie Hutton,New York Mets,22,0,2,1,24.1,100,90,22,13,3,1,5,9,9,9,0,26,0,0,1,0,0,0,1,21,7,379,22,21,2,0,24.33333333333334
67027,Eric Jordan,Cincinnati Reds,20,0,1,1,23.1,99,87,19,12,5,0,2,10,5,11,0,15,1,0,0,2,0,0,5,8,1,390,24,26,1,0,23.33333333333334
62014,Ben Moon,Atlanta Braves,17,0,2,0,25.0,99,89,16,8,3,1,4,11,10,7,0,33,2,0,1,0,0,0,1,5,1,399,20,18,1,3,25.0
60145,Jeff Ryburn,-,14,0,0,0,24.0,96,82,16,11,2,0,3,7,7,14,0,22,0,0,0,0,0,0,1,9,1,402,18,26,2,2,24.0
62270,T.J. Talbot,Chicago White Sox,13,0,0,0,21.1,95,83,21,11,7,1,2,10,9,9,0,20,2,0,1,1,1,0,1,7,3,364,16,26,2,1,21.33333333333334
56663,Brad Collom,St. Louis Cardinals,16,0,2,1,23.1,94,83,18,14,4,0,0,3,3,10,1,22,1,0,0,1,0,0,1,16,1,376,13,30,2,1,23.33333333333334
61970,Jeremy Wolfe,Cleveland Guardians,13,0,1,1,16.2,93,80,31,17,7,1,6,25,24,11,0,11,0,0,2,0,0,0,1,5,3,324,16,23,1,0,16.666666666666664
60466,Dashawn Campbell,New York Yankees,9,0,0,1,20.2,87,79,24,16,6,0,2,10,10,7,1,13,0,0,1,0,1,0,4,6,2,282,24,18,1,1,20.666666666666664
65733,Danny Morrow,Boston Red Sox,16,0,1,0,20.2,86,75,15,9,4,0,2,7,7,8,0,23,2,0,1,0,0,0,0,12,2,343,18,20,0,0,20.666666666666664
61663,Jorge Prieto,Cleveland Guardians,11,0,0,1,19.0,86,78,24,18,3,0,3,11,11,8,0,20,0,0,0,1,0,0,2,10,3,329,15,19,3,0,19.0
61615,Jonathan Pearson,-,15,0,3,1,16.2,86,74,27,16,5,0,6,25,25,7,1,16,5,0,0,0,1,0,1,12,4,304,17,14,3,1,16.666666666666664
63392,Mike Bland,Kansas City Royals,20,0,1,3,20.0,85,75,20,15,3,1,1,7,7,9,0,17,0,0,1,0,0,0,4,15,4,345,18,21,2,0,20.0
61439,Johnny Clark,New York Mets,19,0,0,1,18.2,85,74,20,13,3,0,4,12,12,7,1,26,3,1,0,0,0,0,0,11,3,360,15,14,0,1,18.666666666666664
57337,Bobby Hellerman,Houston Astros,26,0,1,1,18.0,82,70,18,16,0,0,2,12,12,11,0,21,0,1,0,3,0,0,0,15,1,322,12,20,3,0,18.0
61507,Kevin Ehrmann,New York Yankees,19,0,0,0,18.2,78,70,15,8,3,0,4,9,9,8,0,15,0,0,0,0,0,0,1,20,5,300,23,16,0,1,18.666666666666664
55716,Chris Rand,St. Louis Cardinals,19,0,0,1,18.2,78,71,17,11,2,2,2,12,10,6,1,26,0,0,1,1,0,0,1,10,2,297,5,22,0,1,18.666666666666664
51536,Erik Wilson,Cleveland Guardians,13,0,1,0,20.1,78,71,10,8,2,0,0,6,6,7,1,20,0,0,0,0,0,0,0,14,0,329,23,18,3,0,20.33333333333334
60509,Kevin Wilhelm,Nashville Stars,17,0,0,0,17.0,77,64,18,10,4,0,4,14,14,11,0,17,0,0,2,0,1,0,3,13,3,315,15,15,2,0,17.0
61879,Eddie Alvarado,Kansas City Royals,18,0,1,0,19.2,76,72,16,10,4,0,2,7,6,3,0,20,1,0,0,0,0,0,2,17,4,305,18,17,3,2,19.666666666666664
56485,Steve Miller,San Diego Padres,11,0,0,1,18.0,76,68,16,11,3,0,2,9,4,7,0,20,0,0,1,0,0,0,1,11,4,278,12,19,0,1,18.0
56422,Joey Williamson,St. Louis Cardinals,15,0,1,0,17.1,76,64,15,9,1,1,4,8,8,11,1,16,0,0,1,1,0,0,2,12,5,316,12,21,5,0,17.33333333333334
39725,Josh George,New York Mets,11,0,2,0,17.0,74,65,19,15,2,0,2,8,8,8,0,13,0,1,0,0,0,0,2,9,0,297,14,20,2,0,17.0
62326,Jonathan Stiltner,Cleveland Guardians,11,0,0,1,17.1,71,60,11,8,3,0,0,2,2,10,1,13,0,0,1,0,1,0,1,8,1,254,13,23,2,1,17.33333333333334
65538,Andy Vincent,Nashville Stars,9,0,0,0,13.2,71,55,16,9,3,1,3,9,8,15,1,9,0,0,1,1,0,0,0,4,1,288,15,15,4,1,13.666666666666664
57979,Chris Johnston,Arizona Diamondbacks,13,0,0,1,15.1,70,64,19,14,5,0,0,6,6,6,3,14,0,0,0,2,0,0,2,10,2,252,13,18,0,0,15.333333333333332
63098,Chris Maxwell,Los Angeles Dodgers,18,0,2,0,20.0,67,64,5,3,1,0,1,2,2,3,0,17,0,0,0,0,0,0,1,11,1,259,22,20,0,0,20.0
64498,Gordie Neikirk,Washington Nationals,7,0,1,1,15.1,67,60,14,8,3,0,3,7,7,7,0,14,0,0,0,0,0,0,1,5,3,243,13,19,0,0,15.333333333333332
57811,Daniel Kennerson,Cleveland Guardians,9,0,0,1,11.2,66,54,18,11,3,1,3,15,12,11,0,13,0,0,1,0,0,0,0,6,3,254,10,12,3,0,11.666666666666664
64143,Jamie Clayborn,New York Yankees,17,0,0,2,15.2,65,54,11,5,1,0,5,8,8,10,0,16,0,0,1,1,0,0,3,14,1,255,18,10,1,0,15.666666666666664
61479,Joe Hafner,Chicago White Sox,33,0,0,1,15.2,64,58,15,12,1,0,2,5,5,6,0,17,0,0,0,0,0,0,3,23,3,243,15,10,3,1,15.666666666666664
50428,Juan Rojas,Texas Rangers,26,0,0,0,15.2,63,53,12,8,3,0,1,7,4,7,0,15,2,0,1,0,0,0,3,24,6,277,13,13,0,2,15.666666666666664
60445,Josh Deutsch,Nashville Stars,17,0,0,1,13.1,62,52,10,4,4,0,2,10,8,10,1,21,0,0,0,1,0,0,0,18,5,258,10,10,0,0,13.333333333333332
64330,Dusty Schroder,Nashville Stars,22,0,2,0,13.0,61,53,12,7,3,1,1,8,8,8,1,17,0,0,0,0,0,0,0,18,3,245,8,14,0,0,13.0
63106,Chris Collins,Nashville Stars,13,0,0,0,14.0,60,52,12,4,4,0,4,11,11,7,0,14,1,0,0,1,0,0,1,13,5,232,12,14,0,1,14.0
58912,Jamie Westbrooks,Baltimore Orioles,10,0,0,2,12.1,59,51,16,11,2,0,3,8,8,7,1,13,0,1,0,0,0,0,0,5,2,251,14,9,0,0,12.333333333333332
59343,Joey Williams,Cleveland Guardians,11,0,0,2,12.1,59,51,16,14,2,0,0,7,7,7,1,10,0,0,1,1,1,0,1,7,4,224,13,12,1,1,12.333333333333332
62437,Steve Shaw,Atlanta Braves,9,0,0,0,13.2,58,52,15,12,1,0,2,8,7,5,0,12,0,0,1,0,0,0,0,10,6,211,13,13,1,0,13.666666666666664
61508,Omari Bingley,St. Louis Cardinals,8,0,0,0,15.0,57,49,5,4,0,0,1,3,2,6,0,17,2,0,0,0,0,0,2,10,4,236,15,11,0,0,15.0
